Complexity,Loss,Equation
1,0.35321963,"g = 1.1499937; beta = [0.000432758, 2.72857, 4.781976, 0.00088622986]"
4,0.31397995,"g = #2 + 1.080733; beta = [0.0003389842, 3.2508118, 0.06484568, -1.3707449e-6]"
6,0.28208432,"g = (#1 * -9.322871) + 1.4252453; beta = [0.0011533616, 9.94926, 0.33940575, -0.00016674265]"
8,0.282054,"g = 1.4252453 + (#1 * (-9.322871 - -0.032210793)); beta = [0.0011533616, 9.94926, 0.33940575, -0.00016674265]"
9,0.22791961,"g = (#2 + (#1 * -6.700087)) - -1.2942203; beta = [3.6702917e-5, 0.87883776, 1.581277, -0.008260794]"
11,0.22618924,"g = ((#1 * -8.905844) - (#2 * -1.4077305)) + 1.305262; beta = [0.00048506126, 7.1803503, 0.25670564, -4.0290077e-5]"
13,0.2257988,"g = ((#1 * -9.59046) - -1.1439669) + (0.15455882 - (#2 * -1.4139715)); beta = [0.0005470534, 7.1806126, 0.2990376, -0.0004498984]"
16,0.22573595,"g = (1.3346161 - ((#2 * -1.4096959) + (#1 * 0.9002549))) + (#1 * -8.903881); beta = [0.00044907414, 7.1804867, 0.31337085, -0.00051802397]"
18,0.22569984,"g = (#1 * -8.904022) + ((0.15814723 - (#2 * -1.409074)) + ((#1 * -0.759328) - -1.1772822)); beta = [0.00044011543, 7.180525, 0.31333506, 0.00032080637]"
21,0.22552462,"g = ((((#1 ^ 0.8999771) * -8.90422) + ((#1 + 0.15607715) - (#2 * -1.4774345))) + #1) - -1.1592438; beta = [0.0005703956, 7.180626, 0.29985148, 3.6713853e-5]"
23,0.22540218,"g = (((#1 + (#1 - -0.0061125965)) - (#2 * -1.4775355)) - -1.1613517) + (((#1 ^ 0.90049857) * -8.904253) + 0.15738522); beta = [0.0005330426, 7.18055, 0.29984915, 4.254587e-5]"
28,0.225187,"g = (((((#1 + (#1 - -0.0087186145)) - (#2 * -1.4851152)) - -1.1720434) - (#1 * -1.1052804)) + ((#1 ^ 0.87354195) * -8.905743)) + 0.15992536; beta = [0.00050070655, 7.1800094, 0.29992947, -5.164991e-5]"
